trial_date,site,month,trial,Bag_no,Chamber_no,ID,height_mm,length_mm,width_mm,dry_tin_A_weight_g,dry_tin_B_weight_g,scallop_wet_weight_g,tin_plus_dry_weight_A,tin_plus_dry_weight_B,dry_weight_gonad_g,dry_weight_body_g,dry_weight_total_g,volume_mL,notes,shell wet weight
6/24/2022,Cow Yard,earlyJuly,T1,1A,DO1,CY_1A_1,47,52,21,2.1781,2.2063,20.5459,2.3659,2.9626,0.1878,0.7563,0.9441,20,,
6/24/2022,Cow Yard,earlyJuly,T1,2A,DO2,CY_2A_2,49,51,20,2.1461,2.194,23.2967,2.4595,3.1894,0.3134,0.9954,1.3088,20,,
6/24/2022,Cow Yard,earlyJuly,T1,3A,DO3,CY_3A_3,47,49,21,2.1992,2.162,21.5634,2.4325,3.0909,0.2333,0.9289,1.1622,15,,
6/24/2022,Cow Yard,earlyJuly,T2,1A,DO4,CY_1A_4,46,50,21,2.1941,2.1677,21.8376,2.3924,3.1542,0.1983,0.9865,1.1848,15,,
6/24/2022,Cow Yard,earlyJuly,T2,2A,DO1,CY_2A_1,47,52,19,2.1926,2.2146,21.2069,2.4218,3.0492,0.2292,0.8346,1.0638,20,,
6/24/2022,Cow Yard,earlyJuly,T2,3A,DO2,CY_3A_2,46,53,21,2.1853,2.1642,22.6244,2.4449,3.0625,0.2596,0.8983,1.1579,20,,
6/28/2022,Mattituck,earlyJuly,T1,1A,DO2,MT_1A_2,48,53,21,2.331,2.291,21.639,2.4416,3.2558,0.1106,0.9648,1.0754,15,,
6/28/2022,Mattituck,earlyJuly,T1,2A,DO3,MT_2A_3,51,55,21,2.3433,2.3724,24.2931,2.5492,3.2654,0.2059,0.893,1.0989,20,,
6/28/2022,Mattituck,earlyJuly,T1,3A,DO4,MT_3A_4,46,49,20,2.3179,2.377,18.5507,2.5585,3.2652,0.2406,0.8882,1.1288,10,,
6/28/2022,Mattituck,earlyJuly,T2,1A,DO1,MT_1A_1,51,57,20,2.1909,2.2619,25.2539,2.5642,3.2906,0.3733,1.0287,1.402,20,,
6/28/2022,Mattituck,earlyJuly,T2,2A,DO4,MT_2A_4,46,50,18,2.2945,2.2565,16.5596,2.496,3.0221,0.2015,0.7656,0.9671,10,,
6/28/2022,Mattituck,earlyJuly,T2,3A,DO2,MT_3A_2,46,52,23,2.2452,2.2633,23.249,2.5338,3.2294,0.2886,0.9661,1.2547,20,,
6/29/2022,Bullhead,earlyJuly,T1,1A,DO3,BH_1A_3,42,48,20,2.1225,2.1808,17.6947,2.2026,2.9203,0.0801,0.7395,0.8196,15,,
6/29/2022,Bullhead,earlyJuly,T1,2A,DO4,BH_2A_4,47,51,22,2.1734,2.2001,23.1911,2.2902,3.1474,0.1168,0.9473,1.0641,20,,
6/29/2022,Bullhead,earlyJuly,T1,3A,DO1,BH_3A_1,46,49,19,2.2137,2.1711,17.7922,2.3118,2.9207,0.0981,0.7496,0.8477,20,,
6/29/2022,Bullhead,earlyJuly,T2,1A,DO4,BH_1A_4,49,53,20,2.2207,2.2525,21.0404,2.4185,3.0831,0.1978,0.8306,1.0284,10,,
6/29/2022,Bullhead,earlyJuly,T2,2A,DO1,BH_2A_1,55,61,22,2.1565,2.2701,27.9738,2.3145,3.5219,0.158,1.2518,1.4098,20,,
6/29/2022,Bullhead,earlyJuly,T2,3A,DO2,BH_3A_2,49,55,17,2.25,2.339,19.9053,2.4076,3.2078,0.1576,0.8688,1.0264,15,,
6/30/2022,Northwest Harbor,earlyJuly,T1,1A,DO1,NW_1A_1,50,55,20,2.394,2.3616,20.6842,2.4781,3.1841,0.0841,0.8225,0.9066,10,,
6/30/2022,Northwest Harbor,earlyJuly,T1,2A,DO2,NW_2A_2,40,43,19,2.3688,2.1736,15.7605,2.551,2.8276,0.1822,0.654,0.8362,10,,
6/30/2022,Northwest Harbor,earlyJuly,T1,3A,DO3,NW_3A_3,48,53,22,2.3674,2.2891,22.1909,2.5884,3.2102,0.221,0.9211,1.1421,20,,
6/30/2022,Northwest Harbor,earlyJuly,T2,1A,DO2,NW_1A_2,48,51,20,2.3004,2.3968,23.1228,2.4783,3.4173,0.1779,1.0205,1.1984,20,fixed so probes align correctly with data,
6/30/2022,Northwest Harbor,earlyJuly,T2,2A,DO4,NW_2A_4,42,47,18,2.3603,2.2829,15.1016,2.5107,2.8154,0.1504,0.5325,0.6829,15,fixed so probes align correctly with data,
6/30/2022,Northwest Harbor,earlyJuly,T2,3A,DO1,NW_3A_1,40,43,18,2.2814,2.3329,14.5496,2.4091,2.9477,0.1277,0.6148,0.7425,`,fixed so probes align correctly with data,
7/8/2022,Orient Point,earlyJuly,T1,1A,DO2,OP_1A_2,50,56,21,2.3249,2.2934,23.8433,2.4385,3.3785,0.1136,1.0851,1.1987,20,,
7/8/2022,Orient Point,earlyJuly,T1,2A,DO3,OP_2A_3,47,50,20,2.3512,2.2833,22.1154,2.4747,3.2603,0.1235,0.977,1.1005,20,,
7/8/2022,Orient Point,earlyJuly,T1,3A,DO4,OP_3A_4,51,55,22,2.3209,2.3702,25.2921,2.4552,3.2524,0.1343,0.8822,1.0165,20,,
7/8/2022,Orient Point,earlyJuly,T2,1A,DO2,OP_1A_2_2,42,45,18,2.2448,2.3164,16.0662,2.3187,2.91,0.0739,0.5936,0.6675,15,,
7/8/2022,Orient Point,earlyJuly,T2,2A,DO4,OP_2A_4,55,62,25,2.2833,2.3022,37.516,2.4774,3.8169,0.1941,1.5147,1.7088,20,,
7/8/2022,Orient Point,earlyJuly,T2,3A,DO1,OP_3A_1,48,53,21,2.3564,2.3057,20.6017,2.4838,3.0508,0.1274,0.7451,0.8725,15,,
8/10/2022,Bullhead,August,T1,1A,DO2,BH_1A_2,50,55,21,1.0599,1.0546,20.5007,1.1333,2.1862,0.0734,1.1316,1.205,15,,
8/10/2022,Bullhead,August,T1,2A,DO3,BH_2A_3,50,57,23,1.0359,1.0379,23.7815,1.1056,2.1502,0.0697,1.1123,1.182,20,,
8/10/2022,Bullhead,August,T1,3A,DO4,BH_3A_4,52,58,22,1.0395,1.0386,25.2647,1.1249,2.2961,0.0854,1.2575,1.3429,20,,
8/10/2022,Bullhead,August,T2,1A,DO3,BH_1A_3,50,56,22,1.0496,1.0305,25.3633,1.1374,2.2043,0.0878,1.1738,1.2616,20,,
8/10/2022,Bullhead,August,T2,2A,DO2,BH_2A_2,46,51,21,1.0647,1.0668,22.7819,1.2378,2.1299,0.1731,1.0631,1.2362,20,,
8/10/2022,Bullhead,August,T2,3A,DO1,BH_3A_1,46,51,20,1.0701,1.0629,18.6765,1.1149,1.6287,0.0448,0.5658,0.6106,15,,
8/10/2022,Bullhead,August,T3,1A,DO1,BH_1A_1,51,55,22,1.0543,1.0612,25.2801,1.1477,1.9199,0.0934,0.8587,0.9521,15,,
8/10/2022,Bullhead,August,T3,3A,DO3,BH_3A_3,52,53,21,1.0501,1.05,23.3877,1.1277,1.9759,0.0776,0.9259,1.0035,15,,
8/18/2022,Cow Yard,August,T1,1A,DO1,CY_1A_1,48,56,20,1.0534,1.055,23.4377,1.1415,2.3295,0.0881,1.2745,1.3626,20,,10.6367
8/18/2022,Cow Yard,August,T1,2A,DO2,CY_2A_2,46,51,21,1.0462,1.0475,21.5561,1.2664,2.2351,0.2202,1.1876,1.4078,20,,8.5473
8/18/2022,Cow Yard,August,T1,3A,DO3,CY_3A_3,52,56,22,1.047,1.0414,27.0459,1.1632,2.383,0.1162,1.3416,1.4578,20,,10.2634
8/18/2022,Cow Yard,August,T2,1A,DO2,CY_1A_2,45,51,22,1.0527,1.0501,23.5577,1.1706,2.145,0.1179,1.0949,1.2128,20,,10.8838
8/18/2022,Cow Yard,August,T2,2A,DO3,CY_2A_3,53,58,23,1.0392,1.0534,27.2124,1.2111,2.5327,0.1719,1.4793,1.6512,20,,11.5977
8/18/2022,Cow Yard,August,T2,3A,DO4,CY_3A_4,46,51,21,1.0549,1.0474,23.2105,1.1519,2.2582,0.097,1.2108,1.3078,15,,10.0733
8/18/2022,Cow Yard,August,T3,1A,DO3,CY_1A_3,52,58,25,1.056,1.0497,32.2366,1.2066,2.5397,0.1506,1.49,1.6406,25,,13.5877
8/18/2022,Cow Yard,August,T3,2A,DO4,CY_2A_4,49,55,22,1.0587,1.0517,26.8556,1.2142,2.463,0.1555,1.4113,1.5668,20,,11.6781
8/18/2022,Cow Yard,August,T3,3A,DO1,CY_3A_1,53,59,22,1.0469,1.0558,29.58,1.1561,2.5819,0.1092,1.5261,1.6353,15,,11.0779
8/24/2022,Mattituck,August,T1,1A,DO2,MT_1A_2,51,57,22,1.0471,1.0442,26.201,1.2175,2.5342,0.1704,1.49,1.6604,20,damage from boring polychete?,11.5772
8/24/2022,Mattituck,August,T1,2A,DO3,MT_2A_3,53,57,22,1.0507,1.0537,26.6134,1.2651,2.5954,0.2144,1.5417,1.7561,20,,11.3202
8/24/2022,Mattituck,August,T1,3A,DO4,MT_3A_4,59,65,26,1.0591,1.0618,38.5204,1.2522,3.3135,0.1931,2.2517,2.4448,40,damage from boring polychete?,17.3822
8/24/2022,Mattituck,August,T2,1A,DO4,MT_1A_4,51,56,24,1.0537,1.0516,29.9399,1.3098,2.5919,0.2561,1.5403,1.7964,20,damage from boring polychete?,12.8866
8/24/2022,Mattituck,August,T2,2A,DO1,MT_2A_1,50,57,21,1.056,1.064,24.2253,1.2327,2.6116,0.1767,1.5476,1.7243,20,,9.7455
8/24/2022,Mattituck,August,T2,3A,DO2,MT_3A_2,48,56,23,1.0409,1.0575,22.4376,1.1875,2.4082,0.1466,1.3507,1.4973,15,damage from boring polychete?,8.4159
8/24/2022,Mattituck,August,T3,1A,DO1,MT_1A_1,48,53,22,1.0607,1.0442,25.1327,1.2168,2.4138,0.1561,1.3696,1.5257,20,damage from boring polychete?,10.7204
8/24/2022,Mattituck,August,T3,2A,DO2,MT_2A_2,50,56,22,1.0643,1.048,24.0302,1.3005,2.4207,0.2362,1.3727,1.6089,20,STILL NEED TO GO THROUGH ALL OF THESE AND edit excel file so they are propoerly aligned for all of these. ,10.3836
8/24/2022,Mattituck,August,T3,3A,DO3,MT_3A_3,50,57,22,1.061,1.0508,26.3441,1.2167,2.5934,0.1557,1.5426,1.6983,20,,11.9126
8/25/2022,Northwest Harbor,August,T1,1A,DO3,NW_1A_3,55,62,24,1.058,1.0513,32.3262,1.3125,2.6409,0.2545,1.5896,1.8441,25,,13.9566
8/25/2022,Northwest Harbor,August,T1,2A,DO4,NW_2A_4,45,51,21,1.0531,1.0589,21.4806,1.1843,1.9903,0.1312,0.9314,1.0626,15,,9.0437
8/25/2022,Northwest Harbor,August,T1,3A,DO1,NW_3A_1,59,66,26,1.0455,1.0584,35.3703,1.2601,2.413,0.2146,1.3546,1.5692,30,damage from graduated cylinder,17.8597
8/25/2022,Northwest Harbor,August,T2,1A,DO1,NW_1A_1,43,49,23,1.0559,1.0628,20.6342,1.1544,2.0234,0.0985,0.9606,1.0591,10,damage from boring polychaete,9.4178
8/25/2022,Northwest Harbor,August,T2,2A,DO2,NW_2A_2,53,58,23,1.0358,1.0477,26.7672,1.2045,2.2881,0.1687,1.2404,1.4091,30,,11.8167
8/25/2022,Northwest Harbor,August,T2,3A,DO3,NW_3A_3,49,55,22,1.046,1.0465,23.7474,1.2015,1.9916,0.1555,0.9451,1.1006,10,damage from boring polychaete,10.5792
8/25/2022,Northwest Harbor,August,T3,1A,DO2,NW_1A_2,46,49,20,1.0487,1.0375,20.9605,1.1578,1.9119,0.1091,0.8744,0.9835,20,damage from boring polychaete,8.7572
8/25/2022,Northwest Harbor,August,T3,2A,DO3,NW_2A_3,49,54,20,1.0587,1.0409,22.6813,1.1559,2.2315,0.0972,1.1906,1.2878,20,,9.7372
8/25/2022,Northwest Harbor,August,T3,3A,DO4,NW_3A_4,51,56,23,1.06,1.053,33.7141,1.2692,2.583,0.2092,1.53,1.7392,30,damage from boring polychaete,14.603
